Word,Target,Pred_DT,Pred_KNN,Pred_Hyb,Pred_HMM,Failures
conticommodity,K AA N T IH K AH M AA D IH T IY,K AH N T IH K AA M AA D AH T IY,K AA N T IH K AH M OW D IH T IY,K AH N T IH K AA M AA D AH T IY,K AH N T IH K AA M AA D AH T IY,4
enemy,EH N AH M IY,EH N IH M IY,EH N AH IY,EH N IH M IY,EH N IH M IY,4
assaf,AH S AE F,AH S AH F,AH S AA F,AH S AH F,AH S AH F,4
scalfaro,S K AE L F AA R OW,S K AE F AA R OW,S K AE L K AA R OW,S K AE F AA R OW,S K AE F AA R OW,4
bodenhamer,B AA D IH N HH AH M ER,B OW D IH N HH AA M ER,B OW D AH N HH AH M ER,B OW D IH N HH AA M ER,B OW D IH N HH AA M ER,4
aggy,AE G IY,AH G IY,AH G G IY,AH G IY,AH G IY,4
wojciak,W OY CH IY AE K,W OY SH AE K,W OY CH AE K,W OY SH AE K,W OY SH AE K,4
newtonchik,N UW T AA N CH IH K,N UW T AO N CH IH K,N UW T AH N CH IY K,N UW T AO N CH IH K,N UW T AO N CH IH K,4
groucho,G R UW CH OW,G R AW OW,G R AW OW,G R AW CH OW,G R AW OW,4
gateley,G AE T IH L IY,G EY T L IY,G AO T L IY,G EY T L IY,G EY T L IY,4
galt,G AO L T,G AE L T,G AE ER T,G AE L T,G AE L T,4
wuerttemberg,W ER T AH M B ER G,W UH R T EH M B ER G,W ER AH T M B ER G,W UH R T EH M B ER G,W UH R T EH M B ER G,4
michaelina,M AY K AH L IY N AH,M IH K AH EH L IY N AH,M IH CH AH R L IH N AH,M IH CH AH EH L IY N AH,M IH K AH EH L IY N AH,4
grimwood,G R IH M W UH D,G R IY M W UH D,G R M W UH D,G R IY M W UH D,G R IY M W UH D,4
deherrera,D EY HH EH R EH R AH,D AH HH EH R EH R AH,D IH F EH G EH R AH,D AH HH EH R EH R AH,D AH HH EH R EH R AH,4
buckwheat,B AH K W IY T,B AH K W HH IY T,B AE K W IY T,B AH K W HH IY T,B AH K W HH IY T,4
deliberate,D IH L IH B ER AH T,D IH L IH B ER EY T,D IH L IH B ER EY T,D IH L IH B ER EY T,D IH L IH B ER EY T,4
typographical,T AY P AH G R AE F IH K AH L,T AY P AA G R AE F IH K AH L,T AY P AA G R AH F IH K AH L,T AY P AA G R AE F IH K AH L,T AY P AA G R AE F IH K AH L,4
bancaire,B AE N K EH R,B AE NG EH R,B AA N R,B AE NG EH R,B AE NG EH R,4
libor,L IY B ER,L IH B ER,L IH B,L IH B ER,L IH B ER,4
budai,B UW D AA IY,B UW D AY,B AH D AH,B UW D AY,B UW D AY,4
zayas,Z EY AA Z,Z AH S,Z N AH Z,Z AH S,Z AH S,4
ulibarri,UW L IY B AA R IY,UW L AY B AA R IY,UW L IH B AA R IY,UW L AY B AA R IY,UW L AY B AA R IY,4
kolker,K OW K ER,K OW L K ER,K OW L K ER,K OW L K ER,K OW L K ER,4
montalbo,M AA N T AE L B OW,M AA N T AA L B OW,M AA N T AH L D OW,M AA N T AA L B OW,M AA N T AA L B OW,4
contretemps,K AA N T R AH T EH M P S,K AH N T R EH T EH M P S,K AA N T R T EH M P S,K AH N T R EH T EH M P S,K AH N T R EH T EH M P S,4
cerbone,CH ER B OW N,S ER R B OW N,S ER S AH N,S ER R B OW N,S ER R B OW N,4
preciado,P R EH CH AA D OW,P R IY SH SH AA D OW,P R IY SH AA D OW,P R IY SH SH AA D OW,P R IY SH SH AA D OW,4
markham,M AA R K AH M,M AA R K HH AH M,M AA R AH M,M AA R K HH AH M,M AA R K HH AH M,4
meeuwsen,M IY UW S AH N,M S EH N,M EH IY P S AH N,M S EH N,M S EH N,4
derousse,D ER UW S,D EH AH UW S,D EH AH S,D EH AH UW S,D EH AH UW S,4
ellipsoid,IH L IH P S OY D,EH L IH P S OY D,EH L AH P S D,EH L IH P S OY D,EH L IH P S OY D,4
atalie,AE T AH L IY,AA T AH L IY,S T AE L IY,AA T AH L,AA T AH L IY,4
seema,S IY M AA,S IY M AH,S M AH,S IY M AH,S IY M AH,4
yearout,Y IH R AW T,Y IH R T,Y ER R AW T,Y IH R T,Y IH R T,4
larocca,L AA R OW K AH,L AA ER OW K AH,L AE R OW K K AH,L AA ER OW K AH,L AA ER OW K AH,4
genome,JH IY N OW M,JH EH N AA M,JH EH N AA M,JH EH N AA M,JH EH N AA M,4
compaq,K AA M P AE K,K AH M P AE K,K AA M P AH,K AH M P AE K,K AH M P AE K,4
laboring,L EY B ER IH NG,L AH B ER IH NG,L AA B R IH NG,L AH B ER IH NG,L AH B ER IH NG,4
northey,N AO R DH IY,N AO R TH IY,N AO R TH,N AO R TH IY,N AO R TH IY,4
mumpower,M AH M P OW ER,M AH M P AW ER,M AH M P AA ER,M AH M P AW ER,M AH M P AW ER,4
lemaitre,L IH M EY T ER,L EH M EY T R ER,L EH M AE T ER,L EH M EY T R,L EH M EY T R ER,4
migneault,M IH G N OW,M IH N OW T,M IH G N OW L T,M IH N OW T,M IH N OW T,4
guatemala,G W AA T AH M AA L AH,G W AA T M AA L AH,G EY T M P L AH,G W AA T M AA L AH,G W AA T M AA L AH,4
causer,K AO Z ER,K AA Z ER,K AA S ER,K AA Z ER,K AA Z ER,4
financiera,F IH N AE N S IY EH R AH,F IH N AE N S IH R AH,F IH N AE N S IY ER R AH,F IH N AE N S IH R AH,F IH N AE N S IH R AH,4
hage,HH EY JH,HH AE JH,HH AE G,HH AE JH,HH AE JH,4
nissei,N IH S EY,N IH EY EY,N IH S T,N IH EY EY,N IH EY EY,4
consob,K AA N S AA B,K AH N S AA B,K AH N S AH N,K AH N S AA B,K AH N S AA B,4
marceca,M AA R S EH K AH,M AA R S K AH,M AA R S K AH,M AA R S K AH,M AA R S K AH,4
osmonds,AO Z M AH N D Z,AA S M AH N D Z,AA S M AA N D Z,AA S M AH N D Z,AA S M AH N D Z,4
giovanni,JH IY OW V AA N IY,JH OW V AA N IY,JH AH V AA N IY,JH OW V AA N IY,JH OW V AA N IY,4
blauser,B L AW S ER,B L AO AW Z ER,B L S ER,B L AO AW Z ER,B L AO AW Z ER,4
divinities,D IH V IH N AH T IY Z,D IH V IH N IH T IY Z,D IH V IH N IH T IY Z,D IH V IH N IH T IY Z,D IH V IH N IH T IY Z,4
eugenics,Y UW JH EH N IH K S,Y UW JH IY N IH K S,L G AH N IH K S,Y UW JH IY N IH K S,Y UW JH IY N IH K S,4
italish,IH T AE L IH SH,IH T AH L IH SH,IH T AE L AH SH,IH T AH L IH SH,IH T AH L IH SH,4
komineft,K AA M IH N EH F T,K OW M AH N EH F T,K OW M AY N EH T,K OW M AH N EH F T,K OW M AH N EH F T,4
oahu,OW AA HH UW,OW AE UW,M AH L,OW AE UW,OW AE UW,4
meme,M IY M,M IH M,M EH N,M IH M,M IH M,4
winnebago,W IH N AH B EY G OW,W IH N IH B AA G OW,W IH N AH B AH R OW,W IH N IH B AA G OW,W IH N IH B AA G OW,4
madalena,M AE D AH L EY N AH,M AE D AH L IY N AH,M AE D AA L EH N AH,M AE D AH L IY N AH,M AE D AH L IY N AH,4
mourned,M AO R N D,M AO ER N D,M ER N D,M AO ER N D,M AO ER N D,4
cerio,CH EH R IY OW,S ER R IY OW,S ER R IY OW,S ER R IY OW,S ER R IY OW,4
wisz,V IH SH,W IH SH,W IH CH T,W IH SH,W IH SH,4
instituted,IH N S T AH T UW T IH D,IH N S T IH T UW T IH D,IH N S T AH T UW T AH D,IH N S T IH T UW T IH D,IH N S T IH T UW T IH D,4
samoth,S AE M AH TH,S AH M AH TH,S AA M AA TH,S AH M AH TH,S AH M AH TH,4
cheesman,CH IY Z M AH N,CH IY S M AH N,CH IY S M AH N,CH IY S M AH N,CH IY S M AH N,4
adjourn,AH JH ER N,AH JH R N,AH IY ER N,AH JH R N,AH JH R N,4
cease,S IY S,S IY Z,B IY EY S,S IY Z,S IY Z,4
titanic,T AY T AE N IH K,T AH T EY N IH K,T IH K AA N IH K,T AH T EY N IH K,T AH T EY N IH K,4
hacksaw,HH AE K S AO,HH AE K S AA,HH AE K S AH,HH AE K S AA,HH AE K S AA,4
arum,EH R AH M,R AH M,K R D M,R AH M,R AH M,4
gawain,G AA W AH N,G AH W N,G AA K N,G AH W N,G AH W N,4
nathene,N AH TH IY N,N AE DH AH N,N AE DH IH N,N AE TH AH N,N AE DH AH N,4
zywicki,Z IH W IH K IY,Z Y W IH K IY,Z UW W IH K IY,Z Y W IH K IY,Z Y W IH K IY,4
desjardin,D EH S ZH AA R D AE N,D EH S ZH AA R D IH N,D IH SH T R D IH N,D EH S ZH AA R D IH N,D EH S ZH AA R D IH N,4
amie,AE M IY,AH M IY,AH M IY,AH M,AH M IY,4
molenaar,M AA L IH N AA R,M AH L AH N AA R,M AO L EH N HH R,M AH L AH N AA R,M AH L AH N AA R,4
colcord,K OW L K ER D,K AO L K AO R D,K AH K AO R D,K AO L K AO R D,K AO L K AO R D,4
metonomy,M AH T AO N AH M IY,M AH T AA N AH M IY,M EH T AH N AH M IY,M AH T AA N AH M IY,M AH T AA N AH M IY,4
ebersol,EH B ER S AA L,EH B ER S AO L,EH B ER S AH N,EH B ER S AO L,EH B ER S AO L,4
rugged,R AH G AH D,R UW G D,R AH G D,R UW G D,R UW G D,4
uehara,UW EY HH AA R AH,UH EY HH AA R AH,B IY HH AE R AH,UH EY HH AA R AH,UH EY HH AA R AH,4
decomposed,D IY K AH M P OW Z D,D IY K AH M P OW Z,D IH K AA M P OW Z,D IY K AH M P OW Z,D IY K AH M P OW Z,4
undisguised,AH N D IH S G AY Z D,AH N D IH S G AY Z,AH N D IH S G AY Z,AH N D IH S G AY Z,AH N D IH S G AY Z,4
etiology,IY T IY AA L AH JH IY,EH T IY AA L AH JH IY,EH SH L AH JH IY,EH T IY AA L AH JH IY,EH T IY AA L AH JH IY,4
aspartame,AE S P ER T EY M,AE S P AA R T AH M,AE S P AA R T AH M,AE S P AA R T AH M,AE S P AA R T AH M,4
askin,AH S K IH N,AE S K IH N,AE S K IH N,AE S K IH N,AE S K IH N,4
dicey,D AY S IY,D IH S EY,D AY N IY,D IH S EY,D IH S EY,4
initiated,IH N IH SH IY EY T AH D,IH N IH SH IY EY T IH D,IH N IH SH EY T AH D,IH N IH SH IY EY T IH D,IH N IH SH IY EY T IH D,4
durrant,D UH R AE N T,D UH ER AH N T,D R AH N T,D UH ER AH N T,D UH ER AH N T,4
boroff,B AO R AO F,B R AO F,B AH R AH F,B R AO F,B R AO F,4
alastair,AE L AH S T EH R,AH L AH S T EH R,AE L AE S T EY R,AH L AH S T EH R,AH L AH S T EH R,4
titanium,T AY T EY N IY AH M,T AH T EY N IY AH M,T IH K AA N IY AH M,T AH T EY N IY AH M,T AH T EY N IY AH M,4
dicecco,D IH S EH K OW,D IH S K OW,D AY K EH K OW,D IH S K OW,D IH S K OW,4
modestly,M AA D AH S T L IY,M AA D EH S T L IY,M OW D EH S S L IY,M AA D EH S T L IY,M AA D EH S T L IY,4
schubring,SH AH B ER IH NG,SH UW B R IH NG,SH R IH NG,SH CH UW B R IH NG,SH UW B R IH NG,4
atheistic,EY TH IY IH S T IH K,AE TH IH S T IH K,AE TH IY IH S T IH K,AE TH IH S T IH K,AE TH IH S T IH K,4
schemer,S K IY M ER,SH EH M ER,SH M ER,SH CH EH M ER,SH EH M ER,4
shreveport,SH R IY V P AO R T,SH R IY V AH P AO R T,SH R EH V EH F AO R T,SH R IY V AH P AO R T,SH R IY V AH P AO R T,4
evict,IH V IH K T,EH V IH K T,EH V IH CH T,EH V IH K T,EH V IH K T,4
hyakutake,HH AY AH K UW T AA K IY,HH AY AA K UW T AH K,HH AY AA K UW T EY K,HH AY AA K UW T AH K,HH AY AA K UW T AH K,4
loftier,L AO F T IY ER,L AA F T IY ER,L AO N T IY ER,L AA F T IY ER,L AA F T IY ER,4
corsage,K AO R S AA ZH,K AO S AA JH,K R S EY K,K AO S AA JH,K AO S AA JH,4
sword,S AO R D,S W AO ER D,S W ER D,S W AO ER D,S W AO ER D,4
lazard,L AH Z AA R D,L AA Z ER D,L AH Z ER D,L AA Z ER D,L AA Z ER D,4
glucosamine,G L UW K AA S AH M IY N,G L UW K AA S AA M IY N,G L AY K AH N AH M N,G L UW K AA S AA M IY N,G L UW K AA S AA M IY N,4
enshroud,IH N SH R AW D,EH N SH R AW D,EH N S ER R D,EH N SH R AW D,EH N SH R AW D,4
belfiore,B EH L F IY AO R IY,B EH L F IY AO R,B EH L L IY AO R,B EH L F IY AO R,B EH L F IY AO R,4
gasoline,G AE S AH L IY N,G AE S OW L IY N,G AE S AA L AH N,G AE S OW L IY N,G AE S OW L IY N,4
megee,M EH JH IY,M EH G IY,M EH D,M EH G,M EH G IY,4
lanai,L AH N AY,L AE N AY,L AE N AY,L AE N AY,L AE N AY,4
juedes,JH W EH D EH S,JH UH IY D Z,JH AH N D Z,JH UH IY D Z,JH UH IY D Z,4
everlasting,EH V ER L AE S T IH NG,EH V ER L AA S T IH NG,EH V ER V AE S T IH NG,EH V ER L AA S T IH NG,EH V ER L AA S T IH NG,4
lamarr,L AH M AA R,L AA M AA R,L AH M AA R D,L AA M AA R,L AA M AA R,4
kremlin,K R EH M L AH N,K R EH M L IH N,K R EH L IH N,K R EH M L IH N,K R EH M L IH N,4
boeschenstein,B OW SH AH N S T IY N,B OW SH AH N S T AY N,B OW SH AH N S T AY N,B OW SH CH AH N S T AY N,B OW SH AH N S T AY N,4
decelles,D EH S AH L Z,D IH S EH L Z,D IH S EH L Z,D IH S EH L Z,D IH S EH L Z,4
bednarik,B EH D N AA R IH K,B EH D N EH ER IH K,B EH N AA R IH K,B EH D N EH ER IH K,B EH D N EH ER IH K,4
colunga,K OW L UW NG G AH,K OW L AH NG G AH,K AH L AH N G AH,K OW L AH NG G AH,K OW L AH NG G AH,4
attila,AH T IH L AH,AH T AH L AH,AE T IY L AH,AH T AH L AH,AH T AH L AH,4
leontyne,L IY AA N T AY N,L EH AH N T AY N,L EH N T IY N,L EH AH N T AY N,L EH AH N T AY N,4
altamira,AA L T AA M IH R AH,AO L T AA M IH R AH,AA L T AH M AO R AH,AO L T AA M IH R AH,AO L T AA M IH R AH,4
shougang,SH AW G AA NG,SH AW G AE NG,SH AO G AE NG,SH AW G AE NG,SH AW G AE NG,4
briar,B R AY ER,B R IY ER,B R K AH,B R IY ER,B R IY ER,4
raphalian,R AH F EY L IY AH N,R AE F AA L IY AH N,R AE F IH L IY AH N,R AE F AA L IY AH N,R AE F AA L IY AH N,4
saccharin,S AE K ER AH N,S AE K R IH N,S AE AA R IH N,S AE CH R IH N,S AE K R IH N,4
seshadri,S EH SH AA D R IY,S EH SH AE D R IY,S EH SH AE D R IY,S EH SH AE D R IY,S EH SH AE D R IY,4
kozakiewicz,K AH Z AA K AH V IH CH,K OW Z AA K IY AH V IH CH,K AA Z S K EH V IH CH,K OW Z AA K IY AH V IH CH,K OW Z AA K IY AH V IH CH,4
fourman,F AO R M AH N,F AO UH R M AH N,F AO ER M AH N,F AO UH R M AH N,F AO UH R M AH N,4
naccarato,N AA K ER AA T OW,N AE K K ER AH T OW,N AE K AA R AH T OW,N AE K K ER AH T OW,N AE K K ER AH T OW,4
jarmin,JH AA R M AH N,JH AA R M IH N,JH AA R L AH N,JH AA R M IH N,JH AA R M IH N,4
ikea,AY K IY AH,IH K IY AH,AY D,IH K IY AH,IH K IY AH,4
grzywacz,G ER Z IH V AE CH,G ER IH W AA CH,G R EY B AE CH,G ER IH W AA CH,G ER IH W AA CH,4
hakanson,HH AE K AH N S AH N,HH AH K AA N S AH N,HH AA L AE N S AH N,HH AH K AA N S AH N,HH AH K AA N S AH N,4
priori,P R AY AO R AY,P R AY AO R IY,P R R IY,P R AY AO R IY,P R AY AO R IY,4
monsour,M AA N S ER,M AA N S R,M AA N S AO R,M AA N S R,M AA N S R,4
renate,R AH N AA T AH,R EH N EY T,R EH N EY T,R EH N EY T,R EH N EY T,4
savir,S EY V ER,S AE V IH R,S AE V IH R,S AE V IH R,S AE V IH R,4
polakowski,P AH L AH K AO F S K IY,P OW L AH K AO F S K IY,P OW L K AO F S K IY,P OW L AH K AO F S K IY,P OW L AH K AO F S K IY,4
majestic,M AH JH EH S T IH K,M AH EH S T IH K,M AE JH EH S T IH K,M AH EH S T IH K,M AH EH S T IH K,4
tiberi,T IY B EH R IY,T IH B IY R IY,T IH B IY IY,T IH B IY R IY,T IH B IY R IY,4
reali,R IY L IY,R IY AH L IY,R IY AH L IY,R IY AH L IY,R IY AH L IY,4
enger,EH NG G ER,EH NG JH ER,IH NG JH ER,EH NG JH ER,EH NG JH ER,4
delapp,D EH L AH P,D EH L AE P,D AH L AE P,D EH L AE P,D EH L AE P,4
boan,B OW N,B OW AH N,B AO N,B OW AH N,B OW AH N,4
zanu,Z AA N UW,Z AE N UW,Z AE N,Z AE N UW,Z AE N UW,4
piggly,P IH G L IY,P IH G AH L IY,P IH L IY,P IH G AH L IY,P IH G AH L IY,4
disobeying,D IH S OW B EY IH NG,D IH S AH B EY IH NG,D IH S AH B EY IH NG,D IH S AH B EY IH NG,D IH S AH B EY IH NG,4
mathematically,M AE TH AH M AE T IH K AH L IY,M AE TH AH M AE T IH K L IY,M AE TH UW M AE T AH K L IY,M AE TH AH M AE T IH K L IY,M AE TH AH M AE T IH K L IY,4
paranoiac,P EH R AH N OY AE K,P EH ER AA N OY AE K,P EH R AA N OW AH L,P EH ER AA N OY AE K,P EH ER AA N OY AE K,4
breaky,B R EY K IY,B R K IY,B R JH IY,B R K IY,B R K IY,4
generales,JH EH N EH R AA L EH S,JH EH N ER AA L Z,JH EH N ER AH L Z,JH EH N ER AA L Z,JH EH N ER AA L Z,4
mallett,M AE L IH T,M AE L EH T,M AA L EH T,M AE L EH T,M AE L EH T,4
defreitas,D EH F R AY T AH Z,D IH F R AY T AH Z,D IH P R AY T S,D IH F R AY T AH Z,D IH F R AY T AH Z,4
memorialized,M AH M AO R IY AH L AY Z D,M EH M AO R IY AH L AY Z D,M EH M R IY AH L AY Z D,M EH M AO R IY AH L AY Z D,M EH M AO R IY AH L AY Z D,4
cochairman,K OW CH EH R M AH N,K AA EH R M AH N,K AA CH EH R M AH N,K AA CH EH R M AH N,K AA EH R M AH N,4
advertisement,AE D V ER T AH Z M AH N T,AE D V ER T AY Z M AH N T,AE D V ER T IH S M AH N T,AE D V ER T AY Z M AH N T,AE D V ER T AY Z M AH N T,4
flaherty,F L EH R T IY,F L EY HH ER T IY,F L AE T ER T IY,F L EY HH ER T IY,F L EY HH ER T IY,4
kasriel,K AE S R IY AH L,K AA S R AH L,K AA S IY L,K AA S R AH L,K AA S R AH L,4
dembski,D EH M S K IY,D EH M B S K IY,D IH M B S K IY,D EH M B S K IY,D EH M B S K IY,4
cahn,K AE N,K AA N,K AA N,K AA N,K AA N,4
cerniglia,CH ER N IY G L IY AA,S ER N IH G L IY AH,S ER N G L IY AH,S ER N IH G L IY AH,S ER N IH G L IY AH,4
buis,B IH Z,B UW IH Z,B IH S,B UW IH Z,B UW IH Z,4
emptied,EH M P T IY D,EH M P T D,EH M P L D,EH M P T D,EH M P T D,4
worcestershire,W UH S T AH SH ER,W UH S T ER SH AY R,W R R S T ER SH,W UH S T ER SH AY R,W UH S T ER SH AY R,4
christlieb,K R IH S T L IY B,K R IH S L IY B,K R IH S T L ER B,CH R IH S L IY B,K R IH S L IY B,4
rhoney,R OW N IY,R AH N IY,R HH AH N IY,R AH N IY,R AH N IY,4
anzalone,AE N Z AH L OW N,AE N Z AA L OW N,AE N D AA L OW N,AE N Z AA L OW N,AE N Z AA L OW N,4
beatie,B IY T IY,B IY AE T IY,B IY AE T IY,B IY AE T,B IY AE T IY,4
pfefferkorn,F EH F ER K AO R N,F EH F ER K ER N,P R EH F ER W AO R N,F EH F ER K ER N,F EH F ER K ER N,4
millimetre,M IH L AH M IY T ER,M IH L AH M AH T ER,M IH L IH M IY T ER,M IH L AH M AH T,M IH L AH M AH T ER,4
fohl,F OW L,F AA L,K OW L,F AA L,F AA L,4
maccarthy,M AH K AA R TH IY,M AE K AA R TH IY,M AE K AA R TH IY,M AE K AA R TH IY,M AE K AA R TH IY,4
bonnes,B AO N Z,B AA N Z,B AA N AH Z,B AA N Z,B AA N Z,4
bottecelli,B AO T AH CH EH L IY,B AA T EH S EH L IY,B AA T EH K EH L IY,B AA T EH S EH L IY,B AA T EH S EH L IY,4
lachance,L AA CH AH N S,L AE AE N S,L AE CH AE N S,L AE CH AE N S,L AE AE N S,4
covill,K AA V AH L,K OW V AH L,K AH V IH L,K OW V AH L,K OW V AH L,4
baehr,B IY R,B AA EH R,B AE R,B AA EH R,B AA EH R,4
jordache,JH AO R D AE SH,JH AO R D AA CH,JH AO R D K,JH AO R D AA CH,JH AO R D AA CH,4
amirav,AE M IH R AE V,AH M IH R AA V,AH M AO R AH L,AH M IH R AA V,AH M IH R AA V,4
antitrust,AE N T AY T R AH S T,AE N T IH T R AH S T,AE N T IH T R AH S T,AE N T IH T R AH S T,AE N T IH T R AH S T,4
dedicated,D EH D AH K EY T AH D,D EH D AH K EY T IH D,D EH D IH K EY T AH D,D EH D AH K EY T IH D,D EH D AH K EY T IH D,4
haruo,HH AA R UW OW,HH AH R UW OW,HH AA R R OW,HH AH R UW OW,HH AH R UW OW,4
delacerda,D EH L AA CH EH R D AH,D EH L EY S EH R D AH,D AH L AH S EH R D AH,D EH L EY S EH R D AH,D EH L EY S EH R D AH,4
pearson,P IH R S AH N,P ER S AH N,P ER S AH N,P ER S AH N,P ER S AH N,4
rakiya,R AH K IY AH,R EY K IY Y AH,R AE K IY AH,R EY K IY Y AH,R EY K IY Y AH,4
aleksandr,AE L AH K S AE N D ER,AH L AH K S AE N D,AA L ER S AE N D,AH L AH K S AE N D,AH L AH K S AE N D,4
sardonically,S AA R D AA N IH K AH L IY,S AA R D OW N IH K L IY,S AA R D AH N IH K L IY,S AA R D OW N IH K L IY,S AA R D OW N IH K L IY,4
reicks,R AY K S,R K S,R K S,R K S,R K S,4
azhar,AH Z AA R,AH Z R,AE SH ER,AH Z R,AH Z R,4
bren,B R EH N,B R AH N,B R AH N,B R AH N,B R AH N,4
szczesniak,SH EH Z N IY AE K,SH EH S N IY AE K,SH N IY AE K,SH EH S N IY AE K,SH EH S N IY AE K,4
norelco,N ER EH L K OW,N AO R EH L K OW,N AO R EH L K OW,N AO R EH L K OW,N AO R EH L K OW,4
astrological,AE S T R AH L AA JH IH K AH L,AE S T R AA L AH JH IH K AH L,AH S T R OW L AH JH IH K AH L,AE S T R AA L AH JH IH K AH L,AE S T R AA L AH JH IH K AH L,4
luxury,L AH G ZH ER IY,L AH G ER IY,L UW ER IY,L AH G ER IY,L AH G ER IY,4
pollman,P OW L M AH N,P AA L M AH N,P AA L M AH N,P AA L M AH N,P AA L M AH N,4
procopio,P R OW K OW P IY OW,P R OW K AA P IY OW,P R OW K AA P IY OW,P R OW K AA P IY OW,P R OW K AA P IY OW,4
stephen,S T IY V AH N,S T EH V AH N,S T EH F AH N,S T EH V AH N,S T EH V AH N,4
daisies,D EY Z IY Z,D EY Z IY IY Z,D EY IY Z,D EY Z IY IY Z,D EY Z IY IY Z,4
kamin,K AA M IY N,K AH M AH N,K AE M AH N,K AH M AH N,K AH M AH N,4
severeville,S AH V IH R V IH L,S EH V ER EH V IH L,S AH V R EH V IH L,S EH V ER EH V IH L,S EH V ER EH V IH L,4
amana,AH M AE N AH,AH M AA N AH,AA M AH N AH,AH M AA N AH,AH M AA N AH,4
politi,P OW L IY T IY,P AA L IH T IY,P OW L IH T IY,P AA L IH T IY,P AA L IH T IY,4
kaysersberg,K AY Z ER Z B ER G,K EY Z ER Z B ER G,K AE Z ER Z B ER G,K EY Z ER Z B ER G,K EY Z ER Z B ER G,4
unforgiving,AH N F ER G IH V IH NG,AH N F AO ER G IH V IH NG,AH N F AO ER G IH V IH NG,AH N F AO ER G IH V IH NG,AH N F AO ER G IH V IH NG,4
logan,L OW G AH N,L AA G AH N,L G AH N,L AA G AH N,L AA G AH N,4
giraldo,JH IH R AA L D OW,G IH ER AH L D OW,G IH R AA L D OW,G IH ER AH L D OW,G IH ER AH L D OW,4
valcourt,V AH L K AO R T,V AA L K AO R T,V AA L K AO R T,V AA L K AO R T,V AA L K AO R T,4
catena,K AH T IY N AH,K AE T AH N AH,K AE T AH N AH,K AE T AH N AH,K AE T AH N AH,4
