Word,Target,Pred_DT,Pred_Hyb,Pred_HMM,Failures
enemy,EH N AH M IY,EH N IH M IY,EH N IH M IY,EH N IH M IY,3
assaf,AH S AE F,AH S AH F,AH S AH F,AH S AH F,3
scalfaro,S K AE L F AA R OW,S K AE F AA R OW,S K AE F AA R OW,S K AE F AA R OW,3
bodenhamer,B AA D IH N HH AH M ER,B OW D IH N HH AA M ER,B OW D IH N HH AA M ER,B OW D IH N HH AA M ER,3
talford,T AE L F ER D,T AA L F ER D,T AA L F ER D,T AA L F ER D,3
dreariness,D R IY R IY N AH S,D R IH R IY N AH S,D R IH R IY N AH S,D R IH R IY N AH S,3
aggy,AE G IY,AH G IY,AH G IY,AH G IY,3
wojciak,W OY CH IY AE K,W OY SH AE K,W OY SH AE K,W OY SH AE K,3
steenkiste,S T IY N K IH S T,S T IY NG K IH S T,S T IY NG K IH S T,S T IY NG K IH S T,3
newtonchik,N UW T AA N CH IH K,N UW T AO N CH IH K,N UW T AO N CH IH K,N UW T AO N CH IH K,3
groucho,G R UW CH OW,G R AW OW,G R AW CH OW,G R AW OW,3
moulin,M UW L AE N,M OW UW L IH N,M OW UW L IH N,M OW UW L IH N,3
lease,L IY S,L IY Z,L IY Z,L IY Z,3
gateley,G AE T IH L IY,G EY T L IY,G EY T L IY,G EY T L IY,3
galt,G AO L T,G AE L T,G AE L T,G AE L T,3
wuerttemberg,W ER T AH M B ER G,W UH R T EH M B ER G,W UH R T EH M B ER G,W UH R T EH M B ER G,3
michaelina,M AY K AH L IY N AH,M IH K AH EH L IY N AH,M IH CH AH EH L IY N AH,M IH K AH EH L IY N AH,3
grimwood,G R IH M W UH D,G R IY M W UH D,G R IY M W UH D,G R IY M W UH D,3
clever,K L EH V ER,K L IY V ER,K L IY V ER,K L IY V ER,3
krolick,K R AA L IH K,K R OW L IH K,K R OW L IH K,K R OW L IH K,3
deherrera,D EY HH EH R EH R AH,D AH HH EH R EH R AH,D AH HH EH R EH R AH,D AH HH EH R EH R AH,3
buckwheat,B AH K W IY T,B AH K W HH IY T,B AH K W HH IY T,B AH K W HH IY T,3
deliberate,D IH L IH B ER AH T,D IH L IH B ER EY T,D IH L IH B ER EY T,D IH L IH B ER EY T,3
typographical,T AY P AH G R AE F IH K AH L,T AY P AA G R AE F IH K AH L,T AY P AA G R AE F IH K AH L,T AY P AA G R AE F IH K AH L,3
bancaire,B AE N K EH R,B AE NG EH R,B AE NG EH R,B AE NG EH R,3
libor,L IY B ER,L IH B ER,L IH B ER,L IH B ER,3
budai,B UW D AA IY,B UW D AY,B UW D AY,B UW D AY,3
zayas,Z EY AA Z,Z AH S,Z AH S,Z AH S,3
ulibarri,UW L IY B AA R IY,UW L AY B AA R IY,UW L AY B AA R IY,UW L AY B AA R IY,3
kolker,K OW K ER,K OW L K ER,K OW L K ER,K OW L K ER,3
montalbo,M AA N T AE L B OW,M AA N T AA L B OW,M AA N T AA L B OW,M AA N T AA L B OW,3
contretemps,K AA N T R AH T EH M P S,K AH N T R EH T EH M P S,K AH N T R EH T EH M P S,K AH N T R EH T EH M P S,3
cerbone,CH ER B OW N,S ER R B OW N,S ER R B OW N,S ER R B OW N,3
preciado,P R EH CH AA D OW,P R IY SH SH AA D OW,P R IY SH SH AA D OW,P R IY SH SH AA D OW,3
markham,M AA R K AH M,M AA R K HH AH M,M AA R K HH AH M,M AA R K HH AH M,3
meeuwsen,M IY UW S AH N,M S EH N,M S EH N,M S EH N,3
derousse,D ER UW S,D EH AH UW S,D EH AH UW S,D EH AH UW S,3
ellipsoid,IH L IH P S OY D,EH L IH P S OY D,EH L IH P S OY D,EH L IH P S OY D,3
jokingly,JH OW K IH NG L IY,JH AH K IH NG L IY,JH AH K IH NG L IY,JH AH K IH NG L IY,3
atalie,AE T AH L IY,AA T AH L IY,AA T AH L,AA T AH L IY,3
nantes,N AE N T S,N AE N T EH S,N AE N T EH S,N AE N T EH S,3
seema,S IY M AA,S IY M AH,S IY M AH,S IY M AH,3
yearout,Y IH R AW T,Y IH R T,Y IH R T,Y IH R T,3
nandi,N AA N D IY,N AE N D IY,N AE N D IY,N AE N D IY,3
larocca,L AA R OW K AH,L AA ER OW K AH,L AA ER OW K AH,L AA ER OW K AH,3
genome,JH IY N OW M,JH EH N AA M,JH EH N AA M,JH EH N AA M,3
compaq,K AA M P AE K,K AH M P AE K,K AH M P AE K,K AH M P AE K,3
laboring,L EY B ER IH NG,L AH B ER IH NG,L AH B ER IH NG,L AH B ER IH NG,3
northey,N AO R DH IY,N AO R TH IY,N AO R TH IY,N AO R TH IY,3
louanne,L UW AE N,L UW AA N,L UW AA N,L UW AA N,3
mumpower,M AH M P OW ER,M AH M P AW ER,M AH M P AW ER,M AH M P AW ER,3
lemaitre,L IH M EY T ER,L EH M EY T R ER,L EH M EY T R,L EH M EY T R ER,3
migneault,M IH G N OW,M IH N OW T,M IH N OW T,M IH N OW T,3
guatemala,G W AA T AH M AA L AH,G W AA T M AA L AH,G W AA T M AA L AH,G W AA T M AA L AH,3
causer,K AO Z ER,K AA Z ER,K AA Z ER,K AA Z ER,3
financiera,F IH N AE N S IY EH R AH,F IH N AE N S IH R AH,F IH N AE N S IH R AH,F IH N AE N S IH R AH,3
hage,HH EY JH,HH AE JH,HH AE JH,HH AE JH,3
corrow,K AO R OW,K R OW,K R OW,K R OW,3
nissei,N IH S EY,N IH EY EY,N IH EY EY,N IH EY EY,3
consob,K AA N S AA B,K AH N S AA B,K AH N S AA B,K AH N S AA B,3
marceca,M AA R S EH K AH,M AA R S K AH,M AA R S K AH,M AA R S K AH,3
diced,D AY S T,D IH S T,D IH S T,D IH S T,3
osmonds,AO Z M AH N D Z,AA S M AH N D Z,AA S M AH N D Z,AA S M AH N D Z,3
bretz,B R EH T S,B R IH T S,B R IH T S,B R IH T S,3
giovanni,JH IY OW V AA N IY,JH OW V AA N IY,JH OW V AA N IY,JH OW V AA N IY,3
blauser,B L AW S ER,B L AO AW Z ER,B L AO AW Z ER,B L AO AW Z ER,3
divinities,D IH V IH N AH T IY Z,D IH V IH N IH T IY Z,D IH V IH N IH T IY Z,D IH V IH N IH T IY Z,3
eugenics,Y UW JH EH N IH K S,Y UW JH IY N IH K S,Y UW JH IY N IH K S,Y UW JH IY N IH K S,3
italish,IH T AE L IH SH,IH T AH L IH SH,IH T AH L IH SH,IH T AH L IH SH,3
komineft,K AA M IH N EH F T,K OW M AH N EH F T,K OW M AH N EH F T,K OW M AH N EH F T,3
oahu,OW AA HH UW,OW AE UW,OW AE UW,OW AE UW,3
urbano,ER B AA N OW,ER B AE N OW,ER B AE N OW,ER B AE N OW,3
meme,M IY M,M IH M,M IH M,M IH M,3
winnebago,W IH N AH B EY G OW,W IH N IH B AA G OW,W IH N IH B AA G OW,W IH N IH B AA G OW,3
madalena,M AE D AH L EY N AH,M AE D AH L IY N AH,M AE D AH L IY N AH,M AE D AH L IY N AH,3
pentron,P EH N T R AH N,P EH N T R AA N,P EH N T R AA N,P EH N T R AA N,3
mourned,M AO R N D,M AO ER N D,M AO ER N D,M AO ER N D,3
cerio,CH EH R IY OW,S ER R IY OW,S ER R IY OW,S ER R IY OW,3
wisz,V IH SH,W IH SH,W IH SH,W IH SH,3
instituted,IH N S T AH T UW T IH D,IH N S T IH T UW T IH D,IH N S T IH T UW T IH D,IH N S T IH T UW T IH D,3
samoth,S AE M AH TH,S AH M AH TH,S AH M AH TH,S AH M AH TH,3
cheesman,CH IY Z M AH N,CH IY S M AH N,CH IY S M AH N,CH IY S M AH N,3
lazaro,L AH Z AA R OW,L AA Z R OW,L AA Z R OW,L AA Z R OW,3
adjourn,AH JH ER N,AH JH R N,AH JH R N,AH JH R N,3
cease,S IY S,S IY Z,S IY Z,S IY Z,3
frisch,F R IH SH,F R IY SH,F R IY SH CH,F R IY SH,3
titanic,T AY T AE N IH K,T AH T EY N IH K,T AH T EY N IH K,T AH T EY N IH K,3
hacksaw,HH AE K S AO,HH AE K S AA,HH AE K S AA,HH AE K S AA,3
arum,EH R AH M,R AH M,R AH M,R AH M,3
gawain,G AA W AH N,G AH W N,G AH W N,G AH W N,3
gradco,G R AE D K OW,G R D K OW,G R D K OW,G R D K OW,3
nathene,N AH TH IY N,N AE DH AH N,N AE TH AH N,N AE DH AH N,3
zywicki,Z IH W IH K IY,Z Y W IH K IY,Z Y W IH K IY,Z Y W IH K IY,3
desjardin,D EH S ZH AA R D AE N,D EH S ZH AA R D IH N,D EH S ZH AA R D IH N,D EH S ZH AA R D IH N,3
amie,AE M IY,AH M IY,AH M,AH M IY,3
molenaar,M AA L IH N AA R,M AH L AH N AA R,M AH L AH N AA R,M AH L AH N AA R,3
colcord,K OW L K ER D,K AO L K AO R D,K AO L K AO R D,K AO L K AO R D,3
metonomy,M AH T AO N AH M IY,M AH T AA N AH M IY,M AH T AA N AH M IY,M AH T AA N AH M IY,3
floc,F L AA K,F L OW K,F L OW K,F L OW K,3
ebersol,EH B ER S AA L,EH B ER S AO L,EH B ER S AO L,EH B ER S AO L,3
rugged,R AH G AH D,R UW G D,R UW G D,R UW G D,3
connotes,K AH N OW T S,K AA N OW T S,K AA N OW T S,K AA N OW T S,3
uehara,UW EY HH AA R AH,UH EY HH AA R AH,UH EY HH AA R AH,UH EY HH AA R AH,3
drace,D R EY S,D R AH S,D R AH S,D R AH S,3
decomposed,D IY K AH M P OW Z D,D IY K AH M P OW Z,D IY K AH M P OW Z,D IY K AH M P OW Z,3
undisguised,AH N D IH S G AY Z D,AH N D IH S G AY Z,AH N D IH S G AY Z,AH N D IH S G AY Z,3
etiology,IY T IY AA L AH JH IY,EH T IY AA L AH JH IY,EH T IY AA L AH JH IY,EH T IY AA L AH JH IY,3
aspartame,AE S P ER T EY M,AE S P AA R T AH M,AE S P AA R T AH M,AE S P AA R T AH M,3
askin,AH S K IH N,AE S K IH N,AE S K IH N,AE S K IH N,3
maso,M AE Z OW,M AH S OW,M AH S OW,M AH S OW,3
dicey,D AY S IY,D IH S EY,D IH S EY,D IH S EY,3
initiated,IH N IH SH IY EY T AH D,IH N IH SH IY EY T IH D,IH N IH SH IY EY T IH D,IH N IH SH IY EY T IH D,3
durrant,D UH R AE N T,D UH ER AH N T,D UH ER AH N T,D UH ER AH N T,3
boroff,B AO R AO F,B R AO F,B R AO F,B R AO F,3
alastair,AE L AH S T EH R,AH L AH S T EH R,AH L AH S T EH R,AH L AH S T EH R,3
titanium,T AY T EY N IY AH M,T AH T EY N IY AH M,T AH T EY N IY AH M,T AH T EY N IY AH M,3
dicecco,D IH S EH K OW,D IH S K OW,D IH S K OW,D IH S K OW,3
modestly,M AA D AH S T L IY,M AA D EH S T L IY,M AA D EH S T L IY,M AA D EH S T L IY,3
schubring,SH AH B ER IH NG,SH UW B R IH NG,SH CH UW B R IH NG,SH UW B R IH NG,3
atheistic,EY TH IY IH S T IH K,AE TH IH S T IH K,AE TH IH S T IH K,AE TH IH S T IH K,3
schemer,S K IY M ER,SH EH M ER,SH CH EH M ER,SH EH M ER,3
shreveport,SH R IY V P AO R T,SH R IY V AH P AO R T,SH R IY V AH P AO R T,SH R IY V AH P AO R T,3
evict,IH V IH K T,EH V IH K T,EH V IH K T,EH V IH K T,3
hyakutake,HH AY AH K UW T AA K IY,HH AY AA K UW T AH K,HH AY AA K UW T AH K,HH AY AA K UW T AH K,3
loftier,L AO F T IY ER,L AA F T IY ER,L AA F T IY ER,L AA F T IY ER,3
corsage,K AO R S AA ZH,K AO S AA JH,K AO S AA JH,K AO S AA JH,3
minstrel,M IH N S T R AH L,M IH N S T R EH L,M IH N S T R EH L,M IH N S T R EH L,3
sword,S AO R D,S W AO ER D,S W AO ER D,S W AO ER D,3
lazard,L AH Z AA R D,L AA Z ER D,L AA Z ER D,L AA Z ER D,3
glucosamine,G L UW K AA S AH M IY N,G L UW K AA S AA M IY N,G L UW K AA S AA M IY N,G L UW K AA S AA M IY N,3
enshroud,IH N SH R AW D,EH N SH R AW D,EH N SH R AW D,EH N SH R AW D,3
belfiore,B EH L F IY AO R IY,B EH L F IY AO R,B EH L F IY AO R,B EH L F IY AO R,3
gasoline,G AE S AH L IY N,G AE S OW L IY N,G AE S OW L IY N,G AE S OW L IY N,3
megee,M EH JH IY,M EH G IY,M EH G,M EH G IY,3
lanai,L AH N AY,L AE N AY,L AE N AY,L AE N AY,3
juedes,JH W EH D EH S,JH UH IY D Z,JH UH IY D Z,JH UH IY D Z,3
everlasting,EH V ER L AE S T IH NG,EH V ER L AA S T IH NG,EH V ER L AA S T IH NG,EH V ER L AA S T IH NG,3
lamarr,L AH M AA R,L AA M AA R,L AA M AA R,L AA M AA R,3
kremlin,K R EH M L AH N,K R EH M L IH N,K R EH M L IH N,K R EH M L IH N,3
boeschenstein,B OW SH AH N S T IY N,B OW SH AH N S T AY N,B OW SH CH AH N S T AY N,B OW SH AH N S T AY N,3
decelles,D EH S AH L Z,D IH S EH L Z,D IH S EH L Z,D IH S EH L Z,3
bednarik,B EH D N AA R IH K,B EH D N EH ER IH K,B EH D N EH ER IH K,B EH D N EH ER IH K,3
colunga,K OW L UW NG G AH,K OW L AH NG G AH,K OW L AH NG G AH,K OW L AH NG G AH,3
attila,AH T IH L AH,AH T AH L AH,AH T AH L AH,AH T AH L AH,3
leontyne,L IY AA N T AY N,L EH AH N T AY N,L EH AH N T AY N,L EH AH N T AY N,3
altamira,AA L T AA M IH R AH,AO L T AA M IH R AH,AO L T AA M IH R AH,AO L T AA M IH R AH,3
shougang,SH AW G AA NG,SH AW G AE NG,SH AW G AE NG,SH AW G AE NG,3
briar,B R AY ER,B R IY ER,B R IY ER,B R IY ER,3
raphalian,R AH F EY L IY AH N,R AE F AA L IY AH N,R AE F AA L IY AH N,R AE F AA L IY AH N,3
saul,S AO L,S L,S L,S L,3
saccharin,S AE K ER AH N,S AE K R IH N,S AE CH R IH N,S AE K R IH N,3
seshadri,S EH SH AA D R IY,S EH SH AE D R IY,S EH SH AE D R IY,S EH SH AE D R IY,3
kozakiewicz,K AH Z AA K AH V IH CH,K OW Z AA K IY AH V IH CH,K OW Z AA K IY AH V IH CH,K OW Z AA K IY AH V IH CH,3
fourman,F AO R M AH N,F AO UH R M AH N,F AO UH R M AH N,F AO UH R M AH N,3
naccarato,N AA K ER AA T OW,N AE K K ER AH T OW,N AE K K ER AH T OW,N AE K K ER AH T OW,3
jarmin,JH AA R M AH N,JH AA R M IH N,JH AA R M IH N,JH AA R M IH N,3
ikea,AY K IY AH,IH K IY AH,IH K IY AH,IH K IY AH,3
grzywacz,G ER Z IH V AE CH,G ER IH W AA CH,G ER IH W AA CH,G ER IH W AA CH,3
hakanson,HH AE K AH N S AH N,HH AH K AA N S AH N,HH AH K AA N S AH N,HH AH K AA N S AH N,3
priori,P R AY AO R AY,P R AY AO R IY,P R AY AO R IY,P R AY AO R IY,3
monsour,M AA N S ER,M AA N S R,M AA N S R,M AA N S R,3
renate,R AH N AA T AH,R EH N EY T,R EH N EY T,R EH N EY T,3
chadick,CH AE D IH K,CH EY D IH K,CH EY D IH K,CH EY D IH K,3
savir,S EY V ER,S AE V IH R,S AE V IH R,S AE V IH R,3
ogan,OW G AH N,OW K AH N,OW K AH N,OW K AH N,3
polakowski,P AH L AH K AO F S K IY,P OW L AH K AO F S K IY,P OW L AH K AO F S K IY,P OW L AH K AO F S K IY,3
majestic,M AH JH EH S T IH K,M AH EH S T IH K,M AH EH S T IH K,M AH EH S T IH K,3
tiberi,T IY B EH R IY,T IH B IY R IY,T IH B IY R IY,T IH B IY R IY,3
reali,R IY L IY,R IY AH L IY,R IY AH L IY,R IY AH L IY,3
enger,EH NG G ER,EH NG JH ER,EH NG JH ER,EH NG JH ER,3
delapp,D EH L AH P,D EH L AE P,D EH L AE P,D EH L AE P,3
boan,B OW N,B OW AH N,B OW AH N,B OW AH N,3
zanu,Z AA N UW,Z AE N UW,Z AE N UW,Z AE N UW,3
piggly,P IH G L IY,P IH G AH L IY,P IH G AH L IY,P IH G AH L IY,3
disobeying,D IH S OW B EY IH NG,D IH S AH B EY IH NG,D IH S AH B EY IH NG,D IH S AH B EY IH NG,3
mathematically,M AE TH AH M AE T IH K AH L IY,M AE TH AH M AE T IH K L IY,M AE TH AH M AE T IH K L IY,M AE TH AH M AE T IH K L IY,3
paranoiac,P EH R AH N OY AE K,P EH ER AA N OY AE K,P EH ER AA N OY AE K,P EH ER AA N OY AE K,3
breaky,B R EY K IY,B R K IY,B R K IY,B R K IY,3
generales,JH EH N EH R AA L EH S,JH EH N ER AA L Z,JH EH N ER AA L Z,JH EH N ER AA L Z,3
caccamo,K AA K AA M OW,K AA K AH M OW,K AA K AH M OW,K AA K AH M OW,3
mallett,M AE L IH T,M AE L EH T,M AE L EH T,M AE L EH T,3
defreitas,D EH F R AY T AH Z,D IH F R AY T AH Z,D IH F R AY T AH Z,D IH F R AY T AH Z,3
memorialized,M AH M AO R IY AH L AY Z D,M EH M AO R IY AH L AY Z D,M EH M AO R IY AH L AY Z D,M EH M AO R IY AH L AY Z D,3
cochairman,K OW CH EH R M AH N,K AA EH R M AH N,K AA CH EH R M AH N,K AA EH R M AH N,3
advertisement,AE D V ER T AH Z M AH N T,AE D V ER T AY Z M AH N T,AE D V ER T AY Z M AH N T,AE D V ER T AY Z M AH N T,3
flaherty,F L EH R T IY,F L EY HH ER T IY,F L EY HH ER T IY,F L EY HH ER T IY,3
dynapac,D AY N AH P AE K,D AY N AE P AE K,D AY N AE P AE K,D AY N AE P AE K,3
kasriel,K AE S R IY AH L,K AA S R AH L,K AA S R AH L,K AA S R AH L,3
dembski,D EH M S K IY,D EH M B S K IY,D EH M B S K IY,D EH M B S K IY,3
cahn,K AE N,K AA N,K AA N,K AA N,3
cerniglia,CH ER N IY G L IY AA,S ER N IH G L IY AH,S ER N IH G L IY AH,S ER N IH G L IY AH,3
teaney,T IY N IY,T N IY,T N IY,T N IY,3
buis,B IH Z,B UW IH Z,B UW IH Z,B UW IH Z,3
nobodies,N OW B AA D IY Z,N OW B AH D IY Z,N OW B AH D IY Z,N OW B AH D IY Z,3
emptied,EH M P T IY D,EH M P T D,EH M P T D,EH M P T D,3
worcestershire,W UH S T AH SH ER,W UH S T ER SH AY R,W UH S T ER SH AY R,W UH S T ER SH AY R,3
christlieb,K R IH S T L IY B,K R IH S L IY B,CH R IH S L IY B,K R IH S L IY B,3
rhoney,R OW N IY,R AH N IY,R AH N IY,R AH N IY,3
anzalone,AE N Z AH L OW N,AE N Z AA L OW N,AE N Z AA L OW N,AE N Z AA L OW N,3
bardolph,B AA R D AA L F,B AA R D OW L F,B AA R D OW L F,B AA R D OW L F,3
beatie,B IY T IY,B IY AE T IY,B IY AE T,B IY AE T IY,3
pfefferkorn,F EH F ER K AO R N,F EH F ER K ER N,F EH F ER K ER N,F EH F ER K ER N,3
schleiger,SH L AY G ER,SH L IY AY G ER,SH CH L IY AY G ER,SH L IY AY G ER,3
millimetre,M IH L AH M IY T ER,M IH L AH M AH T ER,M IH L AH M AH T,M IH L AH M AH T ER,3
fohl,F OW L,F AA L,F AA L,F AA L,3
maccarthy,M AH K AA R TH IY,M AE K AA R TH IY,M AE K AA R TH IY,M AE K AA R TH IY,3
bonnes,B AO N Z,B AA N Z,B AA N Z,B AA N Z,3
bottecelli,B AO T AH CH EH L IY,B AA T EH S EH L IY,B AA T EH S EH L IY,B AA T EH S EH L IY,3
lachance,L AA CH AH N S,L AE AE N S,L AE CH AE N S,L AE AE N S,3
covill,K AA V AH L,K OW V AH L,K OW V AH L,K OW V AH L,3
baehr,B IY R,B AA EH R,B AA EH R,B AA EH R,3
forwarder,F AO R W ER D ER,F AO R W R D ER,F AO R W R D ER,F AO R W R D ER,3
jordache,JH AO R D AE SH,JH AO R D AA CH,JH AO R D AA CH,JH AO R D AA CH,3
amirav,AE M IH R AE V,AH M IH R AA V,AH M IH R AA V,AH M IH R AA V,3
antitrust,AE N T AY T R AH S T,AE N T IH T R AH S T,AE N T IH T R AH S T,AE N T IH T R AH S T,3
dedicated,D EH D AH K EY T AH D,D EH D AH K EY T IH D,D EH D AH K EY T IH D,D EH D AH K EY T IH D,3
haruo,HH AA R UW OW,HH AH R UW OW,HH AH R UW OW,HH AH R UW OW,3
arocha,AA R OW K AH,R OW K AH,R OW CH AH,R OW K AH,3
delacerda,D EH L AA CH EH R D AH,D EH L EY S EH R D AH,D EH L EY S EH R D AH,D EH L EY S EH R D AH,3
pearson,P IH R S AH N,P ER S AH N,P ER S AH N,P ER S AH N,3
rakiya,R AH K IY AH,R EY K IY Y AH,R EY K IY Y AH,R EY K IY Y AH,3
aleksandr,AE L AH K S AE N D ER,AH L AH K S AE N D,AH L AH K S AE N D,AH L AH K S AE N D,3
sardonically,S AA R D AA N IH K AH L IY,S AA R D OW N IH K L IY,S AA R D OW N IH K L IY,S AA R D OW N IH K L IY,3
reicks,R AY K S,R K S,R K S,R K S,3
azhar,AH Z AA R,AH Z R,AH Z R,AH Z R,3
bren,B R EH N,B R AH N,B R AH N,B R AH N,3
szczesniak,SH EH Z N IY AE K,SH EH S N IY AE K,SH EH S N IY AE K,SH EH S N IY AE K,3
norelco,N ER EH L K OW,N AO R EH L K OW,N AO R EH L K OW,N AO R EH L K OW,3
astrological,AE S T R AH L AA JH IH K AH L,AE S T R AA L AH JH IH K AH L,AE S T R AA L AH JH IH K AH L,AE S T R AA L AH JH IH K AH L,3
luxury,L AH G ZH ER IY,L AH G ER IY,L AH G ER IY,L AH G ER IY,3
pollman,P OW L M AH N,P AA L M AH N,P AA L M AH N,P AA L M AH N,3
considering,K AH N S IH D ER IH NG,K AH N S AY D ER IH NG,K AH N S AY D ER IH NG,K AH N S AY D ER IH NG,3
procopio,P R OW K OW P IY OW,P R OW K AA P IY OW,P R OW K AA P IY OW,P R OW K AA P IY OW,3
baize,B EY Z,B Z,B Z,B Z,3
stephen,S T IY V AH N,S T EH V AH N,S T EH V AH N,S T EH V AH N,3
daisies,D EY Z IY Z,D EY Z IY IY Z,D EY Z IY IY Z,D EY Z IY IY Z,3
kamin,K AA M IY N,K AH M AH N,K AH M AH N,K AH M AH N,3
severeville,S AH V IH R V IH L,S EH V ER EH V IH L,S EH V ER EH V IH L,S EH V ER EH V IH L,3
amana,AH M AE N AH,AH M AA N AH,AH M AA N AH,AH M AA N AH,3
politi,P OW L IY T IY,P AA L IH T IY,P AA L IH T IY,P AA L IH T IY,3
kaysersberg,K AY Z ER Z B ER G,K EY Z ER Z B ER G,K EY Z ER Z B ER G,K EY Z ER Z B ER G,3
viguerie,V IH G ER IY,V AY G ER IY,V AY G ER,V AY G ER IY,3
unforgiving,AH N F ER G IH V IH NG,AH N F AO ER G IH V IH NG,AH N F AO ER G IH V IH NG,AH N F AO ER G IH V IH NG,3
appert,AE P ER T,AH P ER T,AH P ER T,AH P ER T,3
logan,L OW G AH N,L AA G AH N,L AA G AH N,L AA G AH N,3
giraldo,JH IH R AA L D OW,G IH ER AH L D OW,G IH ER AH L D OW,G IH ER AH L D OW,3
paulino,P AO L IY N OW,P AO L AH N OW,P AO L AH N OW,P AO L AH N OW,3
valcourt,V AH L K AO R T,V AA L K AO R T,V AA L K AO R T,V AA L K AO R T,3
catena,K AH T IY N AH,K AE T AH N AH,K AE T AH N AH,K AE T AH N AH,3
zipkin,Z IH P K IH N,Z AY P K IH N,Z AY P K IH N,Z AY P K IH N,3
diliberto,D IH L IY B EH R T OW,D IH L IH B ER T OW,D IH L IH B ER T OW,D IH L IH B ER T OW,3
mousel,M UW S EH L,M AW S AH L,M AW S AH L,M AW S AH L,3
ordained,AO R D EY N D,AO ER D EY N D,AO ER D EY N D,AO ER D EY N D,3
periodontal,P EH R IY AH D AA N T AH L,P EH R IY OW D AA N T AH L,P EH R IY OW D AA N T AH L,P EH R IY OW D AA N T AH L,3
stupidity,S T UW P IH D IH T IY,S T UW P D AH T IY,S T UW P D AH T IY,S T UW P D AH T IY,3
brekke,B R EH K,B R AH K,B R AH K,B R AH K,3
cannone,K AA N OW N IY,K AE N OW N,K AE N OW N,K AE N OW N,3
pawelek,P AA V EH L EH K,P AA V AH L IH K,P AA V AH L IH K,P AA V AH L IH K,3
broadest,B R AO D IH S T,B R AO D AH S T,B R AO D AH S T,B R AO D AH S T,3
kazee,K AA Z IY,K AE Z IY,K AE Z,K AE Z IY,3
qatar,K AH T AA R,K AE T AA R,K AE T AA R,K AE T AA R,3
notepad,N OW T P AE D,N OW T EH P AE D,N OW T EH P AE D,N OW T EH P AE D,3
