Word,Pronunciation,Alignment
aasen,AA S AH N,"[('a', '#'), ('a', 'AA'), ('s', 'S'), ('e', 'AH'), ('n', 'N')]"
ababa,AH B AA B AH,"[('a', 'AH'), ('b', 'B'), ('a', 'AA'), ('b', 'B'), ('a', 'AH')]"
abacha,AE B AH K AH,"[('a', 'AE'), ('b', 'B'), ('a', 'AH'), ('c', 'K'), ('h', '#'), ('a', 'AH')]"
aback,AH B AE K,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('c', 'K'), ('k', '#')]"
abaco,AE B AH K OW,"[('a', 'AE'), ('b', 'B'), ('a', 'AH'), ('c', 'K'), ('o', 'OW')]"
abacus,AE B AH K AH S,"[('a', 'AE'), ('b', 'B'), ('a', 'AH'), ('c', 'K'), ('u', 'AH'), ('s', 'S')]"
abad,AH B AA D,"[('a', 'AH'), ('b', 'B'), ('a', 'AA'), ('d', 'D')]"
abadaka,AH B AE D AH K AH,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('d', 'D'), ('a', 'AH'), ('k', 'K'), ('a', 'AH')]"
abadi,AH B AE D IY,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('d', 'D'), ('i', 'IY')]"
abadie,AH B AE D IY,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('d', 'D'), ('i', '#'), ('e', 'IY')]"
abair,AH B EH R,"[('a', 'AH'), ('b', 'B'), ('a', 'EH'), ('i', '#'), ('r', 'R')]"
abalkin,AH B AA L K IH N,"[('a', 'AH'), ('b', 'B'), ('a', 'AA'), ('l', 'L'), ('k', 'K'), ('i', 'IH'), ('n', 'N')]"
abalone,AE B AH L OW N IY,"[('a', 'AE'), ('b', 'B'), ('a', 'AH'), ('l', 'L'), ('o', 'OW'), ('n', 'N'), ('e', 'IY')]"
abalos,AA B AA L OW Z,"[('a', 'AA'), ('b', 'B'), ('a', 'AA'), ('l', 'L'), ('o', 'OW'), ('s', 'Z')]"
abandon,AH B AE N D AH N,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('n', 'N'), ('d', 'D'), ('o', 'AH'), ('n', 'N')]"
abandoned,AH B AE N D AH N D,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('n', 'N'), ('d', 'D'), ('o', 'AH'), ('n', 'N'), ('e', '#'), ('d', 'D')]"
abandoning,AH B AE N D AH N IH NG,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('n', 'N'), ('d', 'D'), ('o', 'AH'), ('n', 'N'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abandonment,AH B AE N D AH N M AH N T,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('n', 'N'), ('d', 'D'), ('o', 'AH'), ('n', 'N'), ('m', 'M'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
abanto,AH B AE N T OW,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('n', 'N'), ('t', 'T'), ('o', 'OW')]"
abarca,AH B AA R K AH,"[('a', 'AH'), ('b', 'B'), ('a', 'AA'), ('r', 'R'), ('c', 'K'), ('a', 'AH')]"
abare,AA B AA R IY,"[('a', 'AA'), ('b', 'B'), ('a', 'AA'), ('r', 'R'), ('e', 'IY')]"
abascal,AE B AH S K AH L,"[('a', 'AE'), ('b', 'B'), ('a', 'AH'), ('s', 'S'), ('c', 'K'), ('a', 'AH'), ('l', 'L')]"
abash,AH B AE SH,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('s', 'SH'), ('h', '#')]"
abashed,AH B AE SH T,"[('a', 'AH'), ('b', 'B'), ('a', 'AE'), ('s', 'SH'), ('h', '#'), ('e', 'T'), ('d', '#')]"
abasia,AH B EY ZH Y AH,"[('a', 'AH'), ('b', 'B'), ('a', 'EY'), ('s', 'ZH'), ('i', 'Y'), ('a', 'AH')]"
abate,AH B EY T,"[('a', 'AH'), ('b', 'B'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
abated,AH B EY T IH D,"[('a', 'AH'), ('b', 'B'), ('a', 'EY'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
abatement,AH B EY T M AH N T,"[('a', 'AH'), ('b', 'B'), ('a', 'EY'), ('t', 'T'), ('e', '#'), ('m', 'M'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
abates,AH B EY T S,"[('a', 'AH'), ('b', 'B'), ('a', 'EY'), ('t', 'T'), ('e', '#'), ('s', 'S')]"
abating,AH B EY T IH NG,"[('a', 'AH'), ('b', 'B'), ('a', 'EY'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abattoir,AE B AH T W AA R,"[('a', 'AE'), ('b', 'B'), ('a', 'AH'), ('t', 'T'), ('t', 'W'), ('o', 'AA'), ('i', '#'), ('r', 'R')]"
abba,AE B AH,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('a', 'AH')]"
abbado,AH B AA D OW,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('a', 'AA'), ('d', 'D'), ('o', 'OW')]"
abbas,AH B AA S,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('a', 'AA'), ('s', 'S')]"
abbasi,AA B AA S IY,"[('a', 'AA'), ('b', '#'), ('b', 'B'), ('a', 'AA'), ('s', 'S'), ('i', 'IY')]"
abbate,AA B EY T,"[('a', 'AA'), ('b', '#'), ('b', 'B'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
abbatiello,AA B AA T IY EH L OW,"[('a', 'AA'), ('b', '#'), ('b', 'B'), ('a', 'AA'), ('t', 'T'), ('i', 'IY'), ('e', 'EH'), ('l', '#'), ('l', 'L'), ('o', 'OW')]"
abbe,AE B IY,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('e', 'IY')]"
abbenhaus,AE B AH N HH AW S,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('e', 'AH'), ('n', 'N'), ('h', 'HH'), ('a', '#'), ('u', 'AW'), ('s', 'S')]"
abbett,AH B EH T,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('e', 'EH'), ('t', '#'), ('t', 'T')]"
abbeville,AE B V IH L,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('e', '#'), ('v', 'V'), ('i', 'IH'), ('l', '#'), ('l', 'L'), ('e', '#')]"
abbey,AE B IY,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('e', 'IY'), ('y', '#')]"
abbie,AE B IY,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('i', '#'), ('e', 'IY')]"
abbitt,AE B IH T,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('i', 'IH'), ('t', '#'), ('t', 'T')]"
abbot,AE B AH T,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('o', 'AH'), ('t', 'T')]"
abbotstown,AE B AH T S T AW N,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('o', 'AH'), ('t', 'T'), ('s', 'S'), ('t', 'T'), ('o', 'AW'), ('w', '#'), ('n', 'N')]"
abbott,AE B AH T,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('o', 'AH'), ('t', '#'), ('t', 'T')]"
abbottstown,AE B AH T S T AW N,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('o', 'AH'), ('t', '#'), ('t', 'T'), ('s', 'S'), ('t', 'T'), ('o', 'AW'), ('w', '#'), ('n', 'N')]"
abboud,AH B UW D,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('o', '#'), ('u', 'UW'), ('d', 'D')]"
abbreviate,AH B R IY V IY EY T,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('r', 'R'), ('e', 'IY'), ('v', 'V'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
abbreviated,AH B R IY V IY EY T IH D,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('r', 'R'), ('e', 'IY'), ('v', 'V'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
abbreviates,AH B R IY V IY EY T S,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('r', 'R'), ('e', 'IY'), ('v', 'V'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('e', '#'), ('s', 'S')]"
abbreviating,AH B R IY V IY EY T IH NG,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('r', 'R'), ('e', 'IY'), ('v', 'V'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abbreviation,AH B R IY V IY EY SH AH N,"[('a', 'AH'), ('b', '#'), ('b', 'B'), ('r', 'R'), ('e', 'IY'), ('v', 'V'), ('i', 'IY'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
abbruzzese,AA B R UW T S EY Z IY,"[('a', 'AA'), ('b', '#'), ('b', 'B'), ('r', 'R'), ('u', 'UW'), ('z', '#'), ('z', '#'), ('e', 'T'), ('s', 'S'), ('$', 'EY'), ('$', 'Z'), ('e', 'IY')]"
abbs,AE B Z,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('s', 'Z')]"
abby,AE B IY,"[('a', 'AE'), ('b', '#'), ('b', 'B'), ('y', 'IY')]"
abco,AE B K OW,"[('a', 'AE'), ('b', 'B'), ('c', 'K'), ('o', 'OW')]"
abcotek,AE B K OW T EH K,"[('a', 'AE'), ('b', 'B'), ('c', 'K'), ('o', 'OW'), ('t', 'T'), ('e', 'EH'), ('k', 'K')]"
abdalla,AE B D AE L AH,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('a', 'AE'), ('l', '#'), ('l', 'L'), ('a', 'AH')]"
abdallah,AE B D AE L AH,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('a', 'AE'), ('l', '#'), ('l', 'L'), ('a', 'AH'), ('h', '#')]"
abdel,AE B D EH L,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('e', 'EH'), ('l', 'L')]"
abdella,AE B D EH L AH,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('e', 'EH'), ('l', '#'), ('l', 'L'), ('a', 'AH')]"
abdicate,AE B D AH K EY T,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('i', 'AH'), ('c', 'K'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
abdicated,AE B D AH K EY T IH D,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('i', 'AH'), ('c', 'K'), ('a', 'EY'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
abdicates,AE B D AH K EY T S,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('i', 'AH'), ('c', 'K'), ('a', 'EY'), ('t', 'T'), ('e', '#'), ('s', 'S')]"
abdicating,AE B D IH K EY T IH NG,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('i', 'IH'), ('c', 'K'), ('a', 'EY'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abdication,AE B D IH K EY SH AH N,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('i', 'IH'), ('c', 'K'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
abdnor,AE B D N ER,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('n', 'N'), ('o', '#'), ('r', 'ER')]"
abdo,AE B D OW,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('o', 'OW')]"
abdollah,AE B D AA L AH,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('o', 'AA'), ('l', '#'), ('l', 'L'), ('a', 'AH'), ('h', '#')]"
abdomen,AE B D OW M AH N,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('o', 'OW'), ('m', 'M'), ('e', 'AH'), ('n', 'N')]"
abdominal,AE B D AA M AH N AH L,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('o', 'AA'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('a', 'AH'), ('l', 'L')]"
abduct,AE B D AH K T,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T')]"
abducted,AE B D AH K T IH D,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
abductee,AE B D AH K T IY,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('e', '#'), ('e', 'IY')]"
abductees,AE B D AH K T IY Z,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('e', '#'), ('e', 'IY'), ('s', 'Z')]"
abducting,AE B D AH K T IH NG,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abduction,AE B D AH K SH AH N,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
abductor,AE B D AH K T ER,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('o', '#'), ('r', 'ER')]"
abducts,AE B D AH K T S,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('s', 'S')]"
abdul,AE B D UW L,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'UW'), ('l', 'L')]"
abdulaziz,AE B D UW L AH Z IY Z,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'UW'), ('l', 'L'), ('a', 'AH'), ('z', 'Z'), ('i', 'IY'), ('z', 'Z')]"
abdulla,AA B D UW L AH,"[('a', 'AA'), ('b', 'B'), ('d', 'D'), ('u', 'UW'), ('l', '#'), ('l', 'L'), ('a', 'AH')]"
abdullah,AE B D AH L AH,"[('a', 'AE'), ('b', 'B'), ('d', 'D'), ('u', 'AH'), ('l', '#'), ('l', 'L'), ('a', 'AH'), ('h', '#')]"
abed,AH B EH D,"[('a', 'AH'), ('b', 'B'), ('e', 'EH'), ('d', 'D')]"
abedi,AH B EH D IY,"[('a', 'AH'), ('b', 'B'), ('e', 'EH'), ('d', 'D'), ('i', 'IY')]"
abee,AH B IY,"[('a', 'AH'), ('b', 'B'), ('e', '#'), ('e', 'IY')]"
abel,EY B AH L,"[('a', 'EY'), ('b', 'B'), ('e', 'AH'), ('l', 'L')]"
abela,AA B EH L AH,"[('a', 'AA'), ('b', 'B'), ('e', 'EH'), ('l', 'L'), ('a', 'AH')]"
abelard,AE B IH L ER D,"[('a', 'AE'), ('b', 'B'), ('e', 'IH'), ('l', 'L'), ('a', '#'), ('r', 'ER'), ('d', 'D')]"
abele,AH B EH L,"[('a', 'AH'), ('b', 'B'), ('e', 'EH'), ('l', 'L'), ('e', '#')]"
abell,EY B AH L,"[('a', 'EY'), ('b', 'B'), ('e', 'AH'), ('l', '#'), ('l', 'L')]"
abella,AH B EH L AH,"[('a', 'AH'), ('b', 'B'), ('e', 'EH'), ('l', '#'), ('l', 'L'), ('a', 'AH')]"
abeln,AE B IH L N,"[('a', 'AE'), ('b', 'B'), ('e', 'IH'), ('l', 'L'), ('n', 'N')]"
abelow,AE B AH L OW,"[('a', 'AE'), ('b', 'B'), ('e', 'AH'), ('l', 'L'), ('o', 'OW'), ('w', '#')]"
abelson,AE B IH L S AH N,"[('a', 'AE'), ('b', 'B'), ('e', 'IH'), ('l', 'L'), ('s', 'S'), ('o', 'AH'), ('n', 'N')]"
abend,AE B EH N D,"[('a', 'AE'), ('b', 'B'), ('e', 'EH'), ('n', 'N'), ('d', 'D')]"
abendroth,AE B IH N D R AO TH,"[('a', 'AE'), ('b', 'B'), ('e', 'IH'), ('n', 'N'), ('d', 'D'), ('r', 'R'), ('o', 'AO'), ('t', 'TH'), ('h', '#')]"
aber,EY B ER,"[('a', 'EY'), ('b', 'B'), ('e', 'ER'), ('r', '#')]"
abercrombie,AE B ER K R AA M B IY,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('c', 'K'), ('r', 'R'), ('o', 'AA'), ('m', 'M'), ('b', 'B'), ('i', '#'), ('e', 'IY')]"
aberdeen,AE B ER D IY N,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('d', 'D'), ('e', '#'), ('e', 'IY'), ('n', 'N')]"
aberford,EY B ER F ER D,"[('a', 'EY'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('f', 'F'), ('o', '#'), ('r', 'ER'), ('d', 'D')]"
aberg,AE B ER G,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('g', 'G')]"
aberle,AE B ER AH L,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', 'AH'), ('l', 'L'), ('e', '#')]"
abermin,AE B ER M IH N,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('m', 'M'), ('i', 'IH'), ('n', 'N')]"
abernathy,AE B ER N AE TH IY,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'AE'), ('t', 'TH'), ('h', '#'), ('y', 'IY')]"
abernethy,AE B ER N EH TH IY,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('e', 'EH'), ('t', 'TH'), ('h', '#'), ('y', 'IY')]"
aberrant,AE B EH R AH N T,"[('a', 'AE'), ('b', 'B'), ('e', 'EH'), ('r', '#'), ('r', 'R'), ('a', 'AH'), ('n', 'N'), ('t', 'T')]"
aberration,AE B ER EY SH AH N,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', 'EY'), ('r', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
aberrational,AE B ER EY SH AH N AH L,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', 'EY'), ('r', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N'), ('a', 'AH'), ('l', 'L')]"
abert,AE B ER T,"[('a', 'AE'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('t', 'T')]"
abet,AH B EH T,"[('a', 'AH'), ('b', 'B'), ('e', 'EH'), ('t', 'T')]"
abetted,AH B EH T IH D,"[('a', 'AH'), ('b', 'B'), ('e', 'EH'), ('t', '#'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
abetting,AH B EH T IH NG,"[('a', 'AH'), ('b', 'B'), ('e', 'EH'), ('t', '#'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abex,EY B EH K S,"[('a', 'EY'), ('b', 'B'), ('e', 'EH'), ('$', 'K'), ('x', 'S')]"
abeyance,AH B EY AH N S,"[('a', 'AH'), ('b', 'B'), ('e', 'EY'), ('y', '#'), ('a', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
abeyta,AA B EY T AH,"[('a', 'AA'), ('b', 'B'), ('e', 'EY'), ('y', '#'), ('t', 'T'), ('a', 'AH')]"
abhor,AE B HH AO R,"[('a', 'AE'), ('b', 'B'), ('h', 'HH'), ('o', 'AO'), ('r', 'R')]"
abhorred,AH B HH AO R D,"[('a', 'AH'), ('b', 'B'), ('h', 'HH'), ('o', 'AO'), ('r', '#'), ('r', 'R'), ('e', '#'), ('d', 'D')]"
abhorrence,AH B HH AO R AH N S,"[('a', 'AH'), ('b', 'B'), ('h', 'HH'), ('o', 'AO'), ('r', '#'), ('r', 'R'), ('e', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
abhorrent,AE B HH AO R AH N T,"[('a', 'AE'), ('b', 'B'), ('h', 'HH'), ('o', 'AO'), ('r', '#'), ('r', 'R'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
abhors,AH B HH AO R Z,"[('a', 'AH'), ('b', 'B'), ('h', 'HH'), ('o', 'AO'), ('r', 'R'), ('s', 'Z')]"
abiam,EY B IY AH M,"[('a', 'EY'), ('b', 'B'), ('i', 'IY'), ('a', 'AH'), ('m', 'M')]"
abid,EY B IH D,"[('a', 'EY'), ('b', 'B'), ('i', 'IH'), ('d', 'D')]"
abide,AH B AY D,"[('a', 'AH'), ('b', 'B'), ('i', 'AY'), ('d', 'D'), ('e', '#')]"
abided,AH B AY D IH D,"[('a', 'AH'), ('b', 'B'), ('i', 'AY'), ('d', 'D'), ('e', 'IH'), ('d', 'D')]"
abides,AH B AY D Z,"[('a', 'AH'), ('b', 'B'), ('i', 'AY'), ('d', 'D'), ('e', '#'), ('s', 'Z')]"
abiding,AH B AY D IH NG,"[('a', 'AH'), ('b', 'B'), ('i', 'AY'), ('d', 'D'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abidjan,AE B IH JH AA N,"[('a', 'AE'), ('b', 'B'), ('i', 'IH'), ('d', '#'), ('j', 'JH'), ('a', 'AA'), ('n', 'N')]"
abie,AE B IY,"[('a', 'AE'), ('b', 'B'), ('i', '#'), ('e', 'IY')]"
abigail,AE B AH G EY L,"[('a', 'AE'), ('b', 'B'), ('i', '#'), ('g', '#'), ('a', 'AH'), ('$', 'G'), ('i', 'EY'), ('l', 'L')]"
abila,AA B IY L AH,"[('a', 'AA'), ('b', 'B'), ('i', 'IY'), ('l', 'L'), ('a', 'AH')]"
abilene,AE B IH L IY N,"[('a', 'AE'), ('b', 'B'), ('i', 'IH'), ('l', 'L'), ('e', 'IY'), ('n', 'N'), ('e', '#')]"
abilities,AH B IH L AH T IY Z,"[('a', 'AH'), ('b', 'B'), ('i', 'IH'), ('l', 'L'), ('i', 'AH'), ('t', 'T'), ('i', '#'), ('e', 'IY'), ('s', 'Z')]"
ability,AH B IH L AH T IY,"[('a', 'AH'), ('b', 'B'), ('i', 'IH'), ('l', 'L'), ('i', 'AH'), ('t', 'T'), ('y', 'IY')]"
abimael,AE B IH M EY L,"[('a', 'AE'), ('b', 'B'), ('i', 'IH'), ('m', 'M'), ('a', 'EY'), ('e', '#'), ('l', 'L')]"
abimaels,AE B IH M EY L Z,"[('a', 'AE'), ('b', 'B'), ('i', 'IH'), ('m', 'M'), ('a', 'EY'), ('e', '#'), ('l', 'L'), ('s', 'Z')]"
abingdon,AE B IH NG D AH N,"[('a', 'AE'), ('b', 'B'), ('i', 'IH'), ('n', 'NG'), ('g', '#'), ('d', 'D'), ('o', 'AH'), ('n', 'N')]"
abington,AE B IH NG T AH N,"[('a', 'AE'), ('b', 'B'), ('i', 'IH'), ('n', 'NG'), ('g', '#'), ('t', 'T'), ('o', 'AH'), ('n', 'N')]"
abio,AA B IY OW,"[('a', 'AA'), ('b', 'B'), ('i', 'IY'), ('o', 'OW')]"
abiola,AA B IY OW L AH,"[('a', 'AA'), ('b', 'B'), ('i', 'IY'), ('o', 'OW'), ('l', 'L'), ('a', 'AH')]"
abiomed,EY B IY AH M EH D,"[('a', 'EY'), ('b', 'B'), ('i', 'IY'), ('o', 'AH'), ('m', 'M'), ('e', 'EH'), ('d', 'D')]"
abiquiu,AH B IH K Y UW,"[('a', 'AH'), ('b', 'B'), ('i', 'IH'), ('q', '#'), ('u', 'K'), ('i', 'Y'), ('u', 'UW')]"
abitibi,AE B IH T IY B IY,"[('a', 'AE'), ('b', 'B'), ('i', 'IH'), ('t', 'T'), ('i', 'IY'), ('b', 'B'), ('i', 'IY')]"
abitz,AE B IH T S,"[('a', 'AE'), ('b', 'B'), ('i', 'IH'), ('t', 'T'), ('z', 'S')]"
abject,AE B JH EH K T,"[('a', 'AE'), ('b', 'B'), ('j', 'JH'), ('e', 'EH'), ('c', 'K'), ('t', 'T')]"
abkhazia,AE B K AA Z Y AH,"[('a', 'AE'), ('b', 'B'), ('k', 'K'), ('h', '#'), ('a', 'AA'), ('z', 'Z'), ('i', 'Y'), ('a', 'AH')]"
abkhazian,AE B K AA Z IY AH N,"[('a', 'AE'), ('b', 'B'), ('k', 'K'), ('h', '#'), ('a', 'AA'), ('z', 'Z'), ('i', 'IY'), ('a', 'AH'), ('n', 'N')]"
ablate,AH B L EY T,"[('a', 'AH'), ('b', 'B'), ('l', 'L'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
ablation,AH B L EY SH AH N,"[('a', 'AH'), ('b', 'B'), ('l', 'L'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
ablaze,AH B L EY Z,"[('a', 'AH'), ('b', 'B'), ('l', 'L'), ('a', 'EY'), ('z', 'Z'), ('e', '#')]"
able,EY B AH L,"[('a', 'EY'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
abled,EY B AH L D,"[('a', 'EY'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#'), ('d', 'D')]"
abler,EY B AH L ER,"[('a', 'EY'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', 'ER'), ('r', '#')]"
ables,EY B AH L Z,"[('a', 'EY'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#'), ('s', 'Z')]"
